Name,Year,Duration,ratings,Num_of_Ratings,Genres
Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1,1200000,"Action,Adventure,Fantasy"
Mad Max: Fury Road,2015,2h,8.1,1100000,"Action,Adventure,Sci-Fi"
Gone Girl,2014,2h 29m,8.1,1100000,"Drama,Mystery,Thriller"
Catch Me If You Can,2002,2h 21m,8.1,1100000,"Biography,Crime,Drama"
"Monsters, Inc.",2001,1h 32m,8.1,978000,"Animation,Adventure,Comedy"
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,8.1,947000,"Adventure,Family,Fantasy"
The Terminator,1984,1h 47m,8.1,923000,"Action,Adventure,Sci-Fi"
The Grand Budapest Hotel,2014,1h 39m,8.1,885000,"Adventure,Comedy,Crime"
The Big Lebowski,1998,1h 57m,8.1,859000,"Comedy,Crime"
Logan,2017,2h 17m,8.1,830000,"Action,Drama,Sci-Fi"
Ratatouille,2007,1h 51m,8.1,823000,"Animation,Adventure,Comedy"
Blade Runner,1982,1h 57m,8.1,822000,"Action,Drama,Sci-Fi"
Gran Torino,2008,1h 56m,8.1,814000,Drama
How to Train Your Dragon,2010,1h 38m,8.1,799000,"Animation,Action,Adventure"
Inside Out,2015,1h 35m,8.1,784000,"Animation,Adventure,Comedy"
12 Years a Slave,2013,2h 14m,8.1,741000,"Biography,Drama,History"
Fargo,1996,1h 38m,8.1,726000,"Crime,Thriller"
Trainspotting,1996,1h 33m,8.1,725000,Drama
Million Dollar Baby,2004,2h 12m,8.1,721000,"Drama,Sport"
Jaws,1975,2h 4m,8.1,659000,"Adventure,Mystery,Thriller"
Into the Wild,2007,2h 28m,8.1,657000,"Adventure,Biography,Drama"
Rocky,1976,2h,8.1,628000,"Drama,Sport"
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,8.1,616000,"Action,Comedy,Crime"
Hacksaw Ridge,2016,2h 19m,8.1,593000,"Biography,Drama,History"
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,8.1,554000,"Comedy,Crime,Drama"
Dead Poets Society,1989,2h 8m,8.1,545000,"Comedy,Drama"
Rush,2013,2h 3m,8.1,513000,"Action,Biography,Drama"
Spotlight,2015,2h 9m,8.1,502000,"Biography,Crime,Drama"
Warrior,2011,2h 20m,8.1,497000,"Action,Drama,Sport"
The Help,2011,2h 26m,8.1,492000,Drama
Ford v Ferrari,2019,2h 32m,8.1,472000,"Action,Biography,Drama"
The Exorcist,1973,2h 2m,8.1,454000,Horror
Room,2015,1h 58m,8.1,450000,"Drama,Thriller"
Stand by Me,1986,1h 29m,8.1,441000,"Adventure,Comedy,Drama"
Platoon,1986,2h,8.1,439000,"Drama,War"
